connection_idx,mean_connectivity_z,condition
528,0.008373513143957317,internal
529,0.03994270069489594,internal
530,0.038842137359565654,internal
531,0.026789049652448296,internal
532,0.027216009793757323,internal
533,0.05865292889905449,internal
534,0.0873631327317475,internal
535,0.10206449300435987,internal
536,0.04535714878414352,internal
537,0.025430905929132764,internal
538,0.0011259830910689828,internal
539,-0.0018964201161955907,internal
540,0.07898674036243432,internal
541,0.03200463077917936,internal
542,0.029415575838344088,internal
543,0.15218185401691625,internal
544,0.05316862044805343,internal
545,0.17875999976355939,internal
546,-0.05036298971497402,internal
547,-0.023219606343569583,internal
548,0.12361292260495055,internal
549,0.05841351002444928,internal
550,0.1553628156029918,internal
551,-0.019001512713329855,internal
552,0.11405925368923749,internal
553,0.0736365881806087,internal
554,0.22927549175634235,internal
555,0.027358365144300234,internal
556,0.04409557968848379,internal
557,0.07949981996421578,internal
558,0.02852088514395423,internal
559,0.012312473193483997,internal
560,0.052499311436394996,internal
561,,internal
562,,internal
563,,internal
564,,internal
565,,internal
566,,internal
567,,internal
568,,internal
569,,internal
570,,internal
571,,internal
572,,internal
573,,internal
574,,internal
575,,internal
576,,internal
577,,internal
578,,internal
579,,internal
580,,internal
581,,internal
582,,internal
583,,internal
584,,internal
585,,internal
586,,internal
587,,internal
588,,internal
589,,internal
590,,internal
591,,internal
592,,internal
593,,internal
594,,internal
